Date,ALUA.BA Close,BBAR.BA Close,BMA.BA Close,BYMA.BA Close,CEPU.BA Close,COME.BA Close,CRES.BA Close,CVH.BA Close,EDN.BA Close,GGAL.BA Close,LOMA.BA Close,MIRG.BA Close,PAMP.BA Close,SUPV.BA Close,TECO2.BA Close,TGNO4.BA Close,TGSU2.BA Close,TRAN.BA Close,TXAR.BA Close,VALO.BA Close,YPFD.BA Close
2021-09-21,62.4,142.05,245.24,79.35,55.25,4.95,91.0,386.5,60.15,178.95,269.9,3170.5,124.8,80.15,184.0,82.4,178.5,47.95,13.85,23.35,873.25
2021-09-22,60.1,142.05,248.71,80.85,61.15,4.91,95.0,385.0,62.45,184.7,267.9,3202.0,128.85,84.7,186.3,84.2,186.4,49.05,13.85,23.7,869.95
2021-09-23,62.4,142.05,246.2,81.55,61.65,4.99,97.4,378.5,60.45,183.7,268.1,3253.0,127.9,84.55,187.7,84.2,182.45,49.3,13.85,24.4,865.05
2021-09-24,62.7,142.05,240.8,81.9,59.25,4.97,95.7,368.0,60.05,181.25,263.05,3279.0,126.9,83.6,188.35,81.8,182.05,48.4,13.85,23.85,864.1
2021-09-27,62.2,142.05,248.86,81.7,60.65,5.07,98.0,368.5,62.9,188.3,270.5,3290.5,128.4,86.3,192.2,84.4,185.4,48.55,13.85,23.95,898.05
2021-09-28,62.7,142.05,246.93,81.7,59.2,5.0,97.75,359.0,62.45,188.1,272.4,3255.0,129.5,86.55,189.75,83.7,187.15,47.95,13.85,23.8,906.2
2021-09-29,63.6,142.05,253.45,81.05,60.3,4.99,96.25,363.0,62.6,191.0,276.35,3329.0,136.05,87.85,190.5,85.5,194.1,48.9,13.85,23.85,894.45
2021-09-30,63.6,142.05,253.3,80.25,61.0,4.96,94.85,364.5,63.6,193.85,277.55,3347.5,135.5,88.6,196.45,87.4,192.0,49.8,13.85,23.7,913.6
2021-10-01,63.2,142.05,255.23,80.0,60.9,4.95,96.2,360.5,63.6,197.7,275.0,3338.5,134.55,88.65,190.5,88.7,196.6,50.6,13.85,23.8,912.65
2021-10-04,62.5,142.05,251.02,80.2,59.6,4.92,100.2,371.0,63.0,196.65,270.5,3373.5,137.65,89.9,192.9,89.9,204.65,53.7,13.85,23.5,922.05
2021-10-05,62.9,142.05,252.1,79.85,61.1,5.17,100.25,383.0,61.75,195.7,265.7,3419.5,139.35,90.2,194.95,90.0,200.9,53.5,13.85,23.7,947.45
2021-10-06,61.9,142.05,250.48,79.4,61.65,5.35,98.1,377.0,63.0,196.75,263.4,3423.0,135.0,88.85,193.0,89.0,198.35,52.4,13.85,23.65,928.75
2021-10-07,61.8,142.05,247.2,78.65,63.0,5.36,97.9,383.0,64.0,196.4,265.1,3460.0,139.0,87.3,193.85,90.2,202.95,52.4,13.85,23.65,936.45
2021-10-12,62.2,142.05,243.31,78.65,65.65,5.44,100.95,386.5,65.5,197.05,266.0,3524.0,149.65,88.0,195.05,94.7,209.45,53.4,13.85,23.45,898.45
2021-10-13,62.5,142.05,244.19,78.65,67.2,5.39,99.55,380.5,65.8,196.85,269.6,3500.0,151.15,88.0,196.35,94.9,211.3,54.4,13.85,23.45,895.1
2021-10-14,66.2,142.05,250.75,78.5,70.15,5.4,105.0,400.0,65.5,199.1,275.9,3618.5,152.75,91.6,204.4,93.2,211.5,55.0,13.85,23.75,890.45
2021-10-15,67.0,142.05,258.24,79.75,73.05,5.44,107.95,400.0,65.45,209.2,281.75,3738.5,152.5,93.5,204.2,94.8,215.6,55.9,13.85,24.65,903.8
2021-10-18,66.6,142.05,257.97,80.3,76.7,5.49,110.8,414.0,66.55,211.7,281.75,3999.0,153.2,93.25,201.9,94.1,219.75,57.1,13.85,25.25,894.7
2021-10-19,67.5,142.05,260.75,80.45,78.8,5.53,111.7,413.0,67.5,214.85,281.3,4009.5,160.35,94.85,206.5,97.0,224.05,59.2,13.85,26.1,903.4
2021-10-20,70.2,142.05,278.65,81.0,78.85,5.55,114.2,430.0,69.45,227.6,284.2,4030.5,163.45,100.65,213.9,98.7,234.75,62.9,13.85,26.4,940.3
2021-10-21,71.2,142.05,276.6,80.25,81.45,5.48,114.75,454.0,69.35,226.3,277.7,4008.0,164.0,100.35,212.8,99.3,235.4,67.5,13.85,26.15,921.35
2021-10-22,71.8,142.05,275.68,79.2,83.85,5.39,113.0,475.5,73.05,228.9,279.05,4011.0,162.5,99.85,212.55,103.25,232.8,68.0,13.85,25.95,905.1
2021-10-25,75.5,142.05,281.77,81.1,86.15,5.38,112.5,481.0,75.1,237.35,279.45,3995.5,163.75,100.65,213.95,107.5,243.9,69.9,13.85,26.25,942.6
2021-10-26,76.9,142.05,276.8,81.9,84.85,5.41,112.1,474.5,75.55,234.9,284.15,3977.0,162.6,99.35,217.55,108.25,241.35,69.9,13.85,25.9,944.5
